Player,height,weight,college,born,birth_city,birth_state
Otis Howard,201,99,Austin Peay State University,1956,Oak Ridge,Tennessee
Clemon Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
Jeff Judkins,198,83,University of Utah,1956,Salt Lake City,Utah
Joel Kramer,201,92,San Diego State University,1955,San Diego,California
Butch Lee,183,83,Marquette University,1956,Santurce,Puerto Rico
John Long,196,88,University of Detroit Mercy,1956,Romulus,Michigan
Billy McKinney,183,72,Northwestern University,1955,Waukegan,Illinois
Mike Mitchell,201,97,Auburn University,1956,Atlanta,Georgia
John Olive,201,95,Villanova University,1955,Philadelphia,Pennsylvania
Roger Phegley,198,92,Bradley University,1956,East Peoria,Illinois
Stan Pietkiewicz,196,90,Auburn University,1956,Huntsville,Alabama
Wayne Radford,190,92,Indiana University,1956,Indianapolis,Indiana
Marlon Redmond,198,85,University of San Francisco,1955,San Francisco,California
Micheal Ray,198,85,,1955,,
Rick Robey,211,104,University of Kentucky,1956,Coral Gables,Florida
Jackie Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
John Rudd,201,104,McNeese State University,1955,DeRidder,Louisiana
Frankie Sanders,198,90,Southern University and A&M College,1957,Dayton,Ohio
Purvis Short,201,95,Jackson State University,1957,Hattiesburg,Mississippi
Sam Smith,201,104,Kentucky Wesleyan College,1944,Hazard,Kentucky
Reggie Theus,201,86,"University of Nevada, Las Vegas",1957,Inglewood,California
Mychal Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
Raymond Townsend,190,79,"University of California, Los Angeles",1955,San Jose,California
Terry Tyler,201,97,University of Detroit Mercy,1956,Detroit,Michigan
Andre Wakefield,190,79,Loyola University of Chicago,1955,Chicago,Illinois
Jerome Whitehead,208,99,Marquette University,1956,Waukegan,Illinois
Freeman Williams,193,86,Portland State University,1956,Los Angeles,California
Rick Wilson,196,90,University of Louisville,1956,Louisville,Kentucky
James Bailey,206,99,Rutgers University,1957,Dublin,Georgia
Billy Ray,206,99,,1957,,
Larry Bird*,206,99,Indiana State University,1956,West Baden,Indiana
Lawrence Boston,203,102,University of Maryland,1956,Cleveland,Ohio
Dudley Bradley,198,88,University of North Carolina,1957,Baltimore,Maryland
Bill Cartwright,216,111,University of San Francisco,1957,Lodi,California
Jeff Cook,208,97,Idaho State University,1956,West Covina,California
Hollis Copeland,198,81,Rutgers University,1955,Trenton,New Jersey
John Coughran,201,102,University of California,1951,Pittsburg,California
Terry Crosby,193,88,University of Tennessee,1957,Toledo,Ohio
Pat Cummings,206,104,University of Cincinnati,1956,Johnstown,Pennsylvania
Paul Dawkins,196,86,Northern Illinois University,1957,Saginaw,Michigan
Greg Deane,193,86,University of Utah,1957,Tulare,California
Larry Demic,206,102,University of Arizona,1957,Gary,Indiana
Terry Duerod,188,81,University of Detroit Mercy,1956,Royal Oak,Michigan
Earl Evans,203,91,"University of Nevada, Las Vegas",1955,Port Arthur,Texas
Mike Evans,185,77,Kansas State University,1955,Goldsboro,North Carolina
Gary Garland,193,81,DePaul University,1957,East Orange,New Jersey
Dave Greenwood,206,100,"University of California, Los Angeles",1957,Lynwood,California
Roy Hamilton,188,81,"University of California, Los Angeles",1957,Los Angeles,California
Gerald Henderson,188,79,Virginia Commonwealth University,1956,Richmond,Virginia
Johnny High,190,83,"University of Nevada, Reno",1957,Birmingham,Alabama
Brad Holland,190,81,"University of California, Los Angeles",1956,Billings,Montana
Phil Hubbard,203,97,University of Michigan,1956,Canton,Ohio
Geoff Huston,188,79,Texas Tech University,1957,Brooklyn,New York
Abdul Jeelani,203,95,University of Wisconsin-Parkside,1954,Bells,Tennessee
Cheese Johnson,183,77,University of California,1949,Corpus Christi,Texas
Magic Johnson*,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
Vinnie Johnson,188,90,Baylor University,1956,Brooklyn,New York
Major Jones,206,102,Albany State University,1953,McGhee,Arkansas
Greg Kelser,201,86,Michigan State University,1957,Panama City,Florida
Irv Kiffin,206,102,Oklahoma Baptist University,1951,New York,New York
Carl Kilpatrick,208,104,University of Louisiana at Monroe,1956,Bastrop,Louisiana
Reggie King,198,102,University of Alabama,1957,Birmingham,Alabama
Arvid Kramer,206,99,Augustana College (SD),1956,Fulda,Minnesota
Allen Leavell,185,77,Oklahoma City University,1957,Muncie,Indiana
Ollie Mack,190,83,East Carolina University,1957,New York,New York
Steve Malovic,208,104,San Diego State University,1956,Cleveland,Ohio
Paul Mokeski,213,113,University of Kansas,1957,Spokane,Washington
Sidney Moncrief,190,81,University of Arkansas,1957,Little Rock,Arkansas
Calvin Natt,198,99,University of Louisiana at Monroe,1957,Monroe,Louisiana
Sylvester Norris,211,99,Jackson State University,1957,Jackson,Mississippi
Wiley Peck,201,99,Mississippi State University,1957,Montgomery,Alabama
Sam Pellom,206,102,"University at Buffalo, State University of New York",1951,Wilmington,North Carolina
Clint Richardson,190,88,Seattle University,1956,Seattle,Washington
Cliff Robinson,206,99,University of Southern California,1960,Oakland,California
Jim Spanarkel,196,86,Duke University,1957,Jersey City,New Jersey
Bernard Toone,206,95,Marquette University,1956,Yonkers,New York
Duck Williams,188,81,University of Notre Dame,1956,Demopolis,Alabama
Sly Williams,201,95,University of Rhode Island,1958,New Haven,Connecticut
Bubba Wilson,190,79,Western Carolina University,1955,Gastonia,North Carolina
Tony Zeno,203,95,Arizona State University,1957,New Orleans,Louisiana
Darrell Allums,206,99,"University of California, Los Angeles",1958,Los Angeles,California
Norman Black,196,83,Saint Joseph's University,1957,Baltimore,Maryland
Dave Britton,193,81,Texas A&M University,1958,New York,New York
Michael Brooks,201,99,La Salle University,1958,Philadelphia,Pennsylvania
Lewis Brown,190,86,University of Wyoming,1919,,
Rickey Brown,208,97,Mississippi State University,1958,Madison County,Mississippi
Joe Barry,193,88,Georgia Institute of Technology,1969,Oakland,California
Butch Carter,196,81,Indiana University,1958,Springfield,Ohio
Reggie Carter,190,79,St. John's University,1957,New York,New York
Art Collins,193,83,St. Thomas University,1954,Sandersville,Georgia
Don Collins,198,81,Illinois State University,1951,Christopher,Illinois
Darwin Cook,190,83,University of Portland,1958,Los Angeles,California
Earl Cureton,206,95,University of Detroit Mercy,1957,Detroit,Michigan
Monti Davis,201,92,Tennessee State University,1958,Warren,Ohio
James Donaldson,218,124,Washington State University,1957,Heacham,United Kingdom
Larry Drew,185,77,University of Missouri,1958,Kansas City,Kansas
Ralph Drollinger,218,113,"University of California, Los Angeles",1954,La Mesa,California
John Duren,190,88,Georgetown University,1958,Washington,District of Columbia
Tony Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
Calvin Garrett,201,86,Oral Roberts University,1956,Parsons,Tennessee
Mike Gminski,211,113,Duke University,1959,Monroe,Connecticut
Darrell Griffith,193,86,University of Louisville,1958,Louisville,Kentucky
Bill Hanzlik,201,83,University of Notre Dame,1957,Middletown,Ohio
Alan Hardy,201,88,University of Michigan,1957,Detroit,Michigan
Mike Harper,208,88,North Park University,1957,Chicago,Illinois
Cedrick Hordges,203,99,University of South Carolina,1957,Montgomery,Alabama
Tony Jackson,193,90,St. John's University,1942,Brooklyn,New York
Lee Johnson,211,92,East Texas State University,1957,Plummerville,Arkansas
Reggie Johnson,206,92,University of Tennessee,1957,Atlanta,Georgia
Edgar Jones,208,102,"University of Nevada, Reno",1956,Fort Rucker,Alabama
Walter Jordan,201,89,Purdue University,1956,Perry,Alabama
Clarence Kea,198,98,Lamar University,1959,Wilmington,North Carolina
Chad Kinch,193,86,University of North Carolina at Charlotte,1958,Perth Amboy,New Jersey
Wayne Kreklow,193,79,Drake University,1957,Neenah,Wisconsin
Bill Laimbeer,211,111,University of Notre Dame,1957,Boston,Massachusetts
Edmund Lawrence,213,103,McNeese State University,1952,Lake Charles,Louisiana
Ronnie Lester,188,79,University of Iowa,1959,Canton,Mississippi
Kyle Macy,190,79,University of Kentucky,1957,Fort Wayne,Indiana
Rick Mahorn,208,108,Hampton University,1958,Hartford,Connecticut
Wes Matthews,185,77,University of Wisconsin,1959,Sarasota,Florida
Bill Mayfield,201,92,University of Iowa,1957,Detroit,Michigan
Keith McCord,201,95,University of Alabama at Birmingham,1957,Birmingham,Alabama
Kevin McHale*,208,95,University of Minnesota,1957,Hibbing,Minnesota
Dick Miller,198,97,University of Toledo,1958,Milwaukee,Wisconsin
Johnny Moore,185,79,University of Texas at Austin,1958,Altoona,Pennsylvania
Lowes Moore,185,77,West Virginia University,1957,Plymouth,South Carolina
Kenny Natt,190,83,University of Louisiana at Monroe,1958,Monroe,Louisiana
Carl Nicks,185,79,Indiana State University,1958,Chicago,Illinois
Mike Niles,198,102,"California State University, Fullerton",1955,Los Angeles,California
Mike O'Koren,201,93,University of North Carolina,1958,Jersey City,New Jersey
Jawann Oldham,213,97,Seattle University,1957,Chicago,Illinois
Louis Orr,203,79,Syracuse University,1958,Cincinnati,Ohio
Myles Patrick,203,99,Auburn University,1954,Macon,Georgia
Tony Price,198,86,University of Pennsylvania,1957,Bronx,New York
Wally Rank,198,99,San Jose State University,1958,Fort Ord,California
Kelvin Ransey,185,77,Ohio State University,1958,Toledo,Ohio
James Ray,203,97,Jacksonville University,1957,New Orleans,Louisiana
Billy Reid,196,86,University of San Francisco,1957,New York,New York
Wayne Robinson,203,98,Virginia Polytechnic Institute and State University,1958,Greensboro,North Carolina
Lorenzo Romar,185,79,University of Washington,1958,South Gate,California
DeWayne Scales,203,94,Louisiana State University,1958,Dallas,Texas
Craig Shelton,201,95,Georgetown University,1957,Washington,District of Columbia
Jerry Sichting,185,76,Purdue University,1956,Martinsville,Indiana
Larry Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
Rory Sparrow,188,79,Villanova University,1958,Suffolk,Virginia
John Stroud,201,97,University of Mississippi,1957,New Albany,Mississippi
Carlos Terry,196,95,Winston-Salem State University,1956,Lexington,North Carolina
Andrew Toney,190,80,University of Louisiana at Lafayette,1957,Birmingham,Alabama
Ronnie Valentine,201,95,Old Dominion University,1957,Norfolk,Virginia
Kiki Vandeweghe,203,99,"University of California, Los Angeles",1958,Wiesbaden,Germany
Brett Vroman,213,99,"University of Nevada, Las Vegas",1955,Hollywood,California
Hawkeye Whitney,201,104,Iowa State University,1939,Brooklyn,New York
Michael Wiley,206,90,"California State University, Long Beach",1957,Long Beach,California
James Wilkes,198,86,"University of California, Los Angeles",1953,Berkeley,California
Jeff Wilkins,211,104,Illinois State University,1955,Chicago,Illinois
Mike Woodson,196,88,Indiana University,1958,Indianapolis,Indiana
Sam Worthen,196,88,Marquette University,1958,Brooklyn,New York
Mark Aguirre,198,105,DePaul University,1959,Chicago,Illinois
Danny Ainge,193,79,Brigham Young University,1959,Eugene,Oregon
Carl Bailey,213,95,Tuskegee University,1958,Birmingham,Alabama
Gene Banks,201,97,Duke University,1959,Philadelphia,Pennsylvania
Rolando Blackman,198,86,Kansas State University,1959,Panama City,Panama
Ray Blume,193,83,Oregon State University,1958,Valdosta,Georgia
Alex Bradley,198,86,Texas Southern University,1953,Utica,Mississippi
Charles Bradley,196,97,University of Wyoming,1959,Havre De Grace,Maryland
Brad Branson,208,99,Southern Methodist University,1958,Harvey,Illinois
Jim Brogan,193,83,West Virginia Wesleyan College,1958,Ardmore,Pennsylvania
Roger Burkman,196,79,University of Louisville,1958,Indianapolis,Indiana
David Burns,188,81,Saint Louis University,1958,Dallas,Texas
Bobby Cattage,206,113,Auburn University,1958,Huntsville,Alabama
Tom Chambers,208,99,University of Utah,1959,Ogden,Utah
Joe Cooper,208,104,University of Colorado,1957,Houston,Texas
Charles Davis,188,72,Wake Forest University,1949,New York,New York
Kenny Dennard,203,99,Duke University,1958,King,North Carolina
Mickey Dillard,190,77,Florida State University,1958,Hollywood,Florida
John Douglas,188,77,University of Kansas,1956,Town Creek,Alabama
Craig Dykema,203,86,"California State University, Long Beach",1959,Lakewood,California
Franklin Edwards,185,77,Cleveland State University,1959,New York,New York
Petur Gudmundsson,218,117,University of Washington,1958,Reykjavik,Iceland
Glenn Hagan,183,77,St. Bonaventure University,1955,Sanford,Florida
Steve Hayes,213,92,Idaho State University,1955,American Falls,Idaho
Tracy Jackson,198,92,University of Notre Dame,1959,Rockville,Maryland
Clay Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
Frank Johnson,185,83,Wake Forest University,1958,Weirsdale,Florida
Steve Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania
Albert King,198,86,University of Maryland,1959,Brooklyn,New York
Jeff Lamp,198,88,University of Virginia,1959,Minneapolis,Minnesota
Rock Lee,193,87,University of Oregon,1952,Boston,Massachusetts
Alton Lister,213,108,Arizona State University,1958,Dallas,Texas
Lewis Lloyd,198,92,Drake University,1959,Philadelphia,Pennsylvania
Kevin Loder,198,92,Alabama State University,1959,Cassopolis,Michigan
Rudy Macklin,201,92,Louisiana State University,1958,Louisville,Kentucky
John McCullough,193,86,University of Oklahoma,1956,Lima,Ohio
Hank McDowell,206,97,University of Memphis,1959,Memphis,Tennessee
Mike McGee,196,86,University of Michigan,1959,Tyler,Texas
Kevin McKenna,196,88,Creighton University,1959,St. Paul,Minnesota
Larry Nance,208,92,Clemson University,1959,Anderson,South Carolina
Kurt Nimphius,208,98,Arizona State University,1958,Milwaukee,Wisconsin
Mark Radford,193,86,Oregon State University,1959,Tacoma,Washington
Ed Rains,201,86,University of South Alabama,1956,Ocala,Florida
Kurt Rambis,203,96,Santa Clara University,1958,Cupertino,California
Jeff Ruland,208,108,Iona College,1958,Bayshore,New York
Danny Schayes,211,106,Syracuse University,1959,Syracuse,New York
Jim Smith,206,102,Ohio State University,1958,Cleveland,Ohio
Larry Spriggs,201,104,Howard University,1959,Cheverly,Maryland
Isiah Thomas*,185,81,Indiana University,1961,Chicago,Illinois
Ray Tolbert,206,102,Indiana University,1958,Anderson,Indiana
Kelly Tripucka,198,99,University of Notre Dame,1959,Glen Ridge,New Jersey
Elston Turner,196,86,University of Mississippi,1959,Knoxville,Tennessee
Darnell Valentine,185,83,University of Kansas,1959,Chicago,Illinois
Pete Verhoeven,206,97,"California State University, Fresno",1959,Hanford,California
Jay Vincent,201,99,Michigan State University,1959,Kalamazoo,Michigan
Danny Vranes,201,95,University of Utah,1958,Salt Lake City,Utah
Buck Williams,203,97,University of Maryland,1960,Rocky Mount,North Carolina
Herb Williams,208,109,Ohio State University,1958,Columbus,Ohio
Garry Witts,201,86,College of the Holy Cross,1959,Elizabeth,New Jersey
Al Wood,198,87,University of North Carolina,1958,Gray,Georgia
Howard Wood,201,106,University of Tennessee,1959,Southhampton,New York
